number,description,createdAt,updatedAt
25,"It’s in its nature to store electricity. It feels
stressed now and then if it’s unable to fully
discharge the electricity.","2018-07-18 03:15:50","2018-07-18 03:15:50"
26,"It becomes aggressive when it has electricity
stored up. At such times, even its Trainer has to
take care to avoid being attacked.","2018-07-18 03:15:09","2018-07-18 03:15:09"
27,"It usually makes its home in deserts and arid
zones, where rain does not fall. It digs holes to
catch Bug-type Pokémon.","2018-07-18 03:14:42","2018-07-18 03:14:42"
28,"It uses its claws to climb trees and then curls
its body into a spiny ball, ready to drop onto
any prey that appears.","2018-07-18 02:57:15","2018-07-18 02:57:15"
29,"Nidoran? has barbs that secrete a powerful poison.
They are thought to have developed as protection for
this small-bodied Pokémon. When enraged, it releases
a horrible toxin from its horn.","2018-07-18 02:57:21","2018-07-18 02:57:21"
30,"When Nidorina are with their friends or family, they keep
their barbs tucked away to prevent hurting each other.
This Pokémon appears to become nervous if separated
from the others.","2018-07-18 03:27:22","2018-07-18 03:27:22"
31,"Nidoqueen’s body is encased in extremely hard scales.
It is adept at sending foes flying with harsh tackles. This
Pokémon is at its strongest when it is defending its young.","2018-07-18 03:49:26","2018-07-18 03:49:26"
32,"Nidoran? has developed muscles for moving its ears. Thanks
to them, the ears can be freely moved in any direction. Even
the slightest sound does not escape this Pokémon’s notice.","2018-07-18 03:14:36","2018-07-18 03:14:36"
33,"Nidorino has a horn that is harder than a diamond. If it senses
a hostile presence, all the barbs on its back bristle up at once,
and it challenges the foe with all its might.","2018-07-18 02:57:24","2018-07-18 02:57:24"
34,"Nidoking’s thick tail packs enormously destructive power.
With one swing, it can topple a metal transmission tower. Once
this Pokémon goes on a rampage, there is no stopping it.","2018-07-18 02:58:07","2018-07-18 02:58:07"
35,"On nights with a full moon, they gather together
and dance. The surrounding area is enveloped
in an abnormal magnetic field.","2018-07-18 02:57:16","2018-07-18 02:57:16"
36,"According to tradition, people who see a pair
of Clefable skipping by can look forward to a
happy marriage.","2018-07-18 03:13:48","2018-07-18 03:13:48"
37,"From its mouth spew flames that seem to
resemble the spirits of the deceased. Some
people mistakenly think this fire is a ghost.","2018-07-18 03:02:38","2018-07-18 03:02:38"
38,"Said to live for a thousand years, this Pokémon
uses its supernatural abilities to manipulate fire.
It can burn its prey to a crisp as it pleases.","2018-07-18 02:57:15","2018-07-18 02:57:15"
39,"Jigglypuff possess a vocal range that exceeds
12 octaves, but each individual’s singing skill
depends on its own effort.","2018-07-18 03:02:33","2018-07-18 03:02:33"
40,"As it inhales, it expands...and expands...and
expands. Wigglytuff compete to see which one
can inflate itself the most.","2018-07-18 03:27:34","2018-07-18 03:27:34"
41,"When exposed to sunlight, they suffer burns.
The frequency of their ultrasonic waves can
differ slightly from colony to colony.","2018-07-18 03:15:00","2018-07-18 03:15:00"
42,"Sometimes they drink so much blood, they can’t
fly anymore. Then they fall to the ground and
become food for other Pokémon.","2018-07-18 03:27:00","2018-07-18 03:27:00"
43,"Oddish searches for fertile, nutrient-rich soil, then plants itself.
During the daytime, while it is planted, this Pokémon’s feet
are thought to change shape and become similar to the roots
of trees.","2018-07-18 04:07:59","2018-07-18 04:07:59"
44,"From its mouth Gloom drips honey that smells absolutely
horrible. Apparently, it loves the horrid stench. It sniffs the
noxious fumes and then drools even more of its honey.","2018-07-18 03:02:26","2018-07-18 03:02:26"
45,"Vileplume has the world’s largest petals. They are used to
attract prey that are then doused with toxic spores. Once the
prey are immobilized, this Pokémon catches and devours them.","2018-07-18 02:57:18","2018-07-18 02:57:18"
46,"Mushrooms called tochukaso sprout from its
back. They can be dried and powdered to make
a medicine used to extend life.","2018-07-18 04:08:45","2018-07-18 04:08:45"
47,"It scatters toxic spores from its mushroom cap.
Once harvested, these spores can be steeped
and boiled down to prepare herbal medicines.","2018-07-18 03:13:50","2018-07-18 03:13:50"
48,"Venonat is said to have evolved with a coat of thin, stiff hair
that covers its entire body for protection. It possesses large
eyes that never fail to spot even minuscule prey.","2018-07-18 03:15:13","2018-07-18 03:15:13"
49,"Venomoth is nocturnal—it is a Pokémon that only becomes
active at night. Its favorite prey are small insects that gather
around streetlights, attracted by the light in the darkness.","2018-07-18 02:57:37","2018-07-18 02:57:37"
50,"Many farmers cherish and nurture Diglett
because its droppings enrich the soil it lives in.","2018-07-18 02:57:45","2018-07-18 02:57:45"
51,"Despite the closeness between this Pokémon
and farmers and other people, no one has ever
seen the parts of it concealed underground.","2018-07-18 03:49:36","2018-07-18 03:49:36"
52,"It loves shiny things. It often fights with
Murkrow over prey they’re both trying to catch.","2018-07-18 04:08:00","2018-07-18 04:08:00"
53,"It has a high opinion of itself, although not to
the same extent as the Alolan Persian. It’s quite
difficult to make friends with this Pokémon.","2018-07-18 02:57:42","2018-07-18 02:57:42"
54,"This Pokémon is troubled by constant
headaches. The more pain it’s in, the more
powerful its psychokinesis becomes.","2018-07-18 04:07:58","2018-07-18 04:07:58"
55,"It swims along the banks of lakes and catches
fish Pokémon. It takes them to the shore and
quietly eats them up.","2018-07-18 04:07:56","2018-07-18 04:07:56"
56,"Its raging tires it out and causes it to fall asleep,
but the anger resonating in its dreams causes it
to wake up—which infuriates it all over again.","2018-07-18 03:02:40","2018-07-18 03:02:40"
57,"Some researchers theorize that Primeape
remains angry even when inside a Poké Ball.","2018-07-18 03:13:54","2018-07-18 03:13:54"
58,"It looks cute, but when you approach another
Trainer’s Growlithe, it will bark at you and bite.","2018-07-18 03:27:52","2018-07-18 03:27:52"
59,"The fire burning inside its body serves as the
energy to fuel it as it runs great distances.
It appears in many legends.","2018-07-18 03:14:38","2018-07-18 03:14:38"
60,"It’s still not very good at walking. Its Trainers
should train this Pokémon to walk every day.","2018-07-18 03:49:43","2018-07-18 03:49:43"
61,"It marches over the land in search of bug
Pokémon to eat. Then it takes them underwater
so it can dine on them where it’s safe.","2018-07-18 04:07:55","2018-07-18 04:07:55"
62,"Its percentage of body fat is nearly zero. Its
body is entirely muscle, which makes it heavy
and forces its swimming prowess to develop.","2018-07-18 03:15:34","2018-07-18 03:15:34"
63,"It can teleport itself to safety while it’s asleep,
but when it wakes, it doesn’t know where it is,
so it panics.","2018-07-18 03:27:39","2018-07-18 03:27:39"
64,"Kadabra’s presence infests televisions and
monitors with creepy shadows that bring
bad luck.","2018-07-18 03:27:13","2018-07-18 03:27:13"
65,"Its brain cells continue to increase in number
until its death. The older the Alakazam, the
larger its head.","2018-07-18 03:51:16","2018-07-18 03:51:16"
66,"With its superhuman strength, it’s able to throw
a hundred people all at the same time. Its
strength comes from lifting Graveler every day.","2018-07-18 04:08:05","2018-07-18 04:08:05"
67,"It willingly assists with hard labor because it
knows the work is good training for its muscles.","2018-07-18 02:57:20","2018-07-18 02:57:20"
68,"It can lift heavy loads with the greatest of ease.
It can even heft dump trucks. But its clumsy
fingers prevent it from doing any precision work.","2018-07-18 03:14:50","2018-07-18 03:14:50"
69,"Bellsprout’s thin and flexible body lets it bend and sway
to avoid any attack, however strong it may be. From its mouth,
this Pokémon spits a corrosive fluid that melts even iron.","2018-07-18 03:14:23","2018-07-18 03:14:23"
70,"Weepinbell has a large hook on its rear end. At night, the
Pokémon hooks on to a tree branch and goes to sleep.
If it moves around in its sleep, it may wake up to find itself
on the ground.","2018-07-18 02:58:05","2018-07-18 02:58:05"
71,"Victreebel has a long vine that extends from its head.
This vine is waved and flicked about as if it were an animal
to attract prey. When an unsuspecting prey draws near,
this Pokémon swallows it whole.","2018-07-18 03:51:37","2018-07-18 03:51:37"
72,"It drifts in shallow seas, such as the areas near
beaches. If you get bitten or stabbed by its
toxic tentacles, rush to the hospital.","2018-07-18 03:49:29","2018-07-18 03:49:29"
73,"Although these Pokémon are rare, when a large
outbreak of them occurs, all fish Pokémon
disappear from the surrounding sea.","2018-07-18 03:26:45","2018-07-18 03:26:45"
74,"There are plenty of them to be found along any
road. A scholar with too much free time once
counted a hundred of them along a single route.","2018-07-18 03:14:04","2018-07-18 03:14:04"
75,"This slow-footed Pokémon moves by curling up
and rolling instead of walking. With enough
momentum, its speed can exceed 60 mph.","2018-07-18 04:08:02","2018-07-18 04:08:02"
76,"Once a year, this Pokémon molts, and its shed
shell returns to the soil. This process creates
enriched soil, so farmers collect the shells.","2018-07-18 03:14:32","2018-07-18 03:14:32"
77,"Ponyta is very weak at birth. It can barely stand up.
This Pokémon becomes stronger by stumbling and
falling to keep up with its parent.","2018-07-18 03:27:53","2018-07-18 03:27:53"
78,"Rapidash usually can be seen casually cantering in the fields
and plains. However, when this Pokémon turns serious, its
fiery manes flare and blaze as it gallops its way up to 150 mph.","2018-07-18 03:14:13","2018-07-18 03:14:13"
79,"Alolan home cooking involves drying Slowpoke
tails and then simmering them into a salty stew.","2018-07-18 02:57:27","2018-07-18 02:57:27"
80,"Whenever Shellder bites down hard on its tail,
it gives Slowbro a flash of inspiration...which it
forgets a moment later.","2018-07-18 03:16:19","2018-07-18 03:16:19"
81,"It sends out electromagnetic waves, which let it
float through the air. Touching it while it’s eating
electricity will give you a full-body shock.","2018-07-18 04:08:07","2018-07-18 04:08:07"
82,"It has about three times the electrical power of
Magnemite. For some reason, outbreaks of this
Pokémon happen when lots of sunspots appear.","2018-07-18 03:14:02","2018-07-18 03:14:02"
83,"Farfetch’d is always seen with a stalk from a plant of some
sort. Apparently, there are good stalks and bad stalks. This
Pokémon has been known to fight with others over stalks.","2018-07-18 03:02:35","2018-07-18 03:02:35"
84,"Doduo’s two heads contain completely identical brains. A
scientific study reported that on rare occasions, there will be
examples of this Pokémon possessing different sets of brains.","2018-07-18 03:02:39","2018-07-18 03:02:39"
85,"Apparently, the heads aren’t the only parts of the body that
Dodrio has three of. It has three sets of hearts and lungs as
well, so it is capable of running long distances without rest.","2018-07-18 03:14:49","2018-07-18 03:14:49"
86,"Seel hunts for prey in the frigid sea underneath sheets of ice.
When it needs to breathe, it punches a hole through the ice
with the sharply protruding section of its head.","2018-07-18 02:58:18","2018-07-18 02:58:18"
87,"Dewgong loves to snooze on bitterly cold ice. The sight of
this Pokémon sleeping on a glacier was mistakenly thought
to be a mermaid by a mariner long ago.","2018-07-18 03:16:04","2018-07-18 03:16:04"
88,"It was born from sludge transformed by
exposure to X-rays from the moon. When its
internal load of germs decreases, it dies.","2018-07-18 03:14:58","2018-07-18 03:14:58"
89,"After recent environmental improvements, this
Pokémon is now hardly seen at all. People
speculate that it may go extinct at some point.","2018-07-18 03:16:06","2018-07-18 03:16:06"
90,"This Pokémon’s tongue is always hanging out.
It uses its tongue with great dexterity to dig up
sand from the seabed in its search for food.","2018-07-18 03:51:33","2018-07-18 03:51:33"
91,"Excavation of the tombs of ancient hunting
tribes has turned up many spears tipped with
spikes that had fallen off this Pokémon’s shell.","2018-07-18 03:27:43","2018-07-18 03:27:43"
92,"Although Gastly is barely visible, when it’s near,
a faint sweet smell lingers.","2018-07-18 03:02:48","2018-07-18 03:02:48"
93,"It fears the light and revels in the dark. It may
be on the verge of extinction in cities that stay
brightly lit at night.","2018-07-18 03:50:09","2018-07-18 03:50:09"
94,"It apparently wishes for a traveling companion.
Since it was once human itself, it tries to create
one by taking the lives of other humans.","2018-07-18 03:14:12","2018-07-18 03:14:12"
95,"Onix has a magnet in its brain. It acts as a compass so that
this Pokémon does not lose direction while it is tunneling.
As it grows older, its body becomes increasingly rounder
and smoother.","2018-07-18 03:49:32","2018-07-18 03:49:32"
96,"It finds really fun dreams tasty. When it makes
friends with people, it may show them the most
delicious dreams it’s ever eaten.","2018-07-18 04:08:11","2018-07-18 04:08:11"
97,"As a matter of course, it makes anyone it meets
fall asleep and has a taste of their dreams.
Anyone having a good dream, it carries off.","2018-07-18 03:49:38","2018-07-18 03:49:38"
98,"Krabby live on beaches, burrowed inside holes dug into
the sand. On sandy beaches with little in the way of food,
these Pokémon can be seen squabbling with each other
over territory.","2018-07-18 03:51:27","2018-07-18 03:51:27"
99,"Kingler has an enormous, oversized claw. It waves this huge
claw in the air to communicate with others. However, because
the claw is so heavy, the Pokémon quickly tires.","2018-07-18 03:50:27","2018-07-18 03:50:27"
100,"Voltorb is extremely sensitive—it explodes at the slightest
of shocks. It is rumored that it was first created when a
Poké Ball was exposed to a powerful pulse of energy.","2018-07-18 02:57:38","2018-07-18 02:57:38"
101,"One of Electrode’s characteristics is its attraction to electricity.
It is a problematical Pokémon that congregates mostly at
electrical power plants to feed on electricity that has just
been generated.","2018-07-18 03:02:30","2018-07-18 03:02:30"
102,"Six of them together form a full-fledged
Pokémon. It’s often hunted by Crabrawler,
but uses psychokinesis to drive it off.","2018-07-18 02:57:59","2018-07-18 02:57:59"
103,"When the time comes, one of its three heads
falls off. Before long, the fallen head grows into
an Exeggcute.","2018-07-18 03:14:11","2018-07-18 03:14:11"
104,"The skull it wears on its head is that of its dead
mother. According to some, it will evolve when
it comes to terms with the pain of her death.","2018-07-18 03:51:05","2018-07-18 03:51:05"
105,"This Pokémon is out for vengeance on its natural
enemy, Mandibuzz. It throws bones like
boomerangs to try to take it down.","2018-07-18 03:51:20","2018-07-18 03:51:20"
106,"Hitmonlee’s legs freely contract and stretch. Using these
springlike legs, it bowls over foes with devastating kicks.
After battle, it rubs down its legs and loosens the muscles
to overcome fatigue.","2018-07-18 02:57:22","2018-07-18 02:57:22"
107,"Hitmonchan is said to possess the spirit of a boxer who had
been working toward a world championship. This Pokémon
has an indomitable spirit and will never give up in the face
of adversity.","2018-07-18 02:57:26","2018-07-18 02:57:26"
108,"Whenever Lickitung comes across something new, it will
unfailingly give it a lick. It does so because it memorizes things
by texture and by taste. It is somewhat put off by sour things.","2018-07-18 03:50:02","2018-07-18 03:50:02"
109,"Koffing embodies toxic substances. It mixes the toxins with raw
garbage to set off a chemical reaction that results in a terribly
powerful poison gas. The higher the temperature, the more gas
is concocted by this Pokémon.","2018-07-18 02:57:33","2018-07-18 02:57:33"
110,"Weezing alternately shrinks and inflates its twin bodies to mix
together toxic gases inside. The more the gases are mixed,
the more powerful the toxins become. The Pokémon also
becomes more putrid.","2018-07-18 02:57:28","2018-07-18 02:57:28"
111,"Rhyhorn’s brain is very small. It is so dense, while on a run
it forgets why it started running in the first place. It apparently
remembers sometimes if it demolishes something.","2018-07-18 03:15:20","2018-07-18 03:15:20"
112,"Rhydon has a horn that serves as a drill. It is used for
destroying rocks and boulders. This Pokémon occasionally
rams into streams of magma, but the armor-like hide prevents
it from feeling the heat.","2018-07-18 02:57:44","2018-07-18 02:57:44"
113,"Not only are these Pokémon fast runners,
they’re also few in number, so anyone who finds
one must be lucky indeed.","2018-07-18 03:27:56","2018-07-18 03:27:56"
114,"Tangela’s vines snap off easily if they are grabbed. This
happens without pain, allowing it to make a quick getaway.
The lost vines are replaced by newly grown vines the very
next day.","2018-07-18 03:15:36","2018-07-18 03:15:36"
115,"The child in its pouch leaves home after roughly
three years. That is the only time the mother is
heard to cry wildly.","2018-07-18 04:08:08","2018-07-18 04:08:08"
116,"If Horsea senses danger, it will reflexively spray a dense
black ink from its mouth and try to escape. This Pokémon
swims by cleverly flapping the fin on its back.","2018-07-18 02:58:17","2018-07-18 02:58:17"
117,"Seadra generates whirlpools by spinning its body.
The whirlpools are strong enough to swallow even
fishing boats. This Pokémon weakens prey with
these currents, then swallows it whole.","2018-07-18 04:08:14","2018-07-18 04:08:14"
118,"Spellbound by the length of its horn and the
beauty of its fins, many strange Trainers raise
Goldeen and nothing but Goldeen.","2018-07-18 03:03:16","2018-07-18 03:03:16"
119,"Trainers who are crazy for Seaking are divided
into horn enthusiasts and fin enthusiasts.
The two groups do not get along well.","2018-07-18 03:51:09","2018-07-18 03:51:09"
120,"This Pokémon gets nibbled on by Lumineon and
others. Thanks to its red core, it regenerates
fast, so it’s unconcerned by their snack attacks.","2018-07-18 03:26:52","2018-07-18 03:26:52"
121,"Its unusual body shape, reminiscent of abstract
art, led local people to spread rumors that this
Pokémon may be an invader from outer space.","2018-07-18 03:50:18","2018-07-18 03:50:18"
122,"Mr. Mime is a master of pantomime. Its gestures and motions
convince watchers that something unseeable actually exists.
Once the watchers are convinced, the unseeable thing exists
as if it were real.","2018-07-18 03:14:54","2018-07-18 03:14:54"
123,"While young, they live together deep in the
mountains, training themselves in how to fight
with their scythes and move at high speeds.","2018-07-18 02:57:46","2018-07-18 02:57:46"
124,"Jynx walks rhythmically, swaying and shaking its hips
as if it were dancing. Its motions are so bouncingly alluring,
people seeing it are compelled to shake their hips without
giving any thought to what they are doing.","2018-07-18 04:08:04","2018-07-18 04:08:04"
125,"Electricity leaks from it in amounts far greater
than the amount of electricity it eats.","2018-07-18 03:15:12","2018-07-18 03:15:12"
126,"When angered, it spouts brilliant fire from all
over its body. It doesn’t calm down until its
opponent has burned to ash.","2018-07-18 03:02:08","2018-07-18 03:02:08"
127,"One solid blow from its horns is enough to split
apart a large tree. Its greatest rival in Alola
is Vikavolt.","2018-07-18 03:15:00","2018-07-18 03:15:00"
128,"Although it’s known to be a fierce Pokémon,
Tauros in the Alola region are said to possess
a measure of calmness.","2018-07-18 03:49:24","2018-07-18 03:49:24"
129,"Its reckless leaps make it easy pickings for
predators. On the bright side, many Pokémon
enjoy longer life spans, thanks to Magikarp.","2018-07-18 04:08:16","2018-07-18 04:08:16"
130,"There are people who swear that any place
Gyarados appears is fated for destruction.","2018-07-18 03:14:08","2018-07-18 03:14:08"
131,"These Pokémon were once near extinction due
to poaching. Following protective regulations,
there is now an overabundance of them.","2018-07-18 03:51:36","2018-07-18 03:51:36"
132,"With its astonishing capacity for
metamorphosis, it can get along with anything.
It does not get along well with its fellow Ditto.","2018-07-18 03:14:55","2018-07-18 03:14:55"
133,"Current studies show it can evolve into an
incredible eight different species of Pokémon.","2018-07-18 03:15:57","2018-07-18 03:15:57"
134,"Blending in with the water and erasing all signs
of its presence, it patiently waits for its prey,
fish Pokémon.","2018-07-18 03:50:56","2018-07-18 03:50:56"
135,"When its fur stands on end, that’s a sign it’s
about to give off a jolt of electricity. Take care,
as sometimes lightning strikes next to it, too.","2018-07-18 03:15:13","2018-07-18 03:15:13"
136,"Its average body temperature is between 1,300
and 1,500 degrees Fahrenheit. In its internal
flame sac, temperatures reach 3,000 degrees.","2018-07-18 04:08:35","2018-07-18 04:08:35"
137,"It can convert its body into digital data,
which enables it to enter cyberspace.","2018-07-18 03:14:40","2018-07-18 03:14:40"
138,"Omanyte is one of the ancient and long-since-extinct Pokémon
that have been regenerated from fossils by people. If attacked
by an enemy, it withdraws itself inside its hard shell.","2018-07-18 03:16:00","2018-07-18 03:16:00"
139,"Omastar uses its tentacles to capture its prey. It is
believed to have become extinct because its shell grew too
large and heavy, causing its movements to become too slow
and ponderous.","2018-07-18 03:51:03","2018-07-18 03:51:03"
140,"Kabuto is a Pokémon that has been regenerated from a fossil.
However, in extremely rare cases, living examples have
been discovered. The Pokémon has not changed at all for
300 million years.","2018-07-18 03:14:26","2018-07-18 03:14:26"
141,"Kabutops swam underwater to hunt for its prey in ancient
times. The Pokémon was apparently evolving from being a
water dweller to living on land as evident from the beginnings
of change in its gills and legs.","2018-07-18 04:08:06","2018-07-18 04:08:06"
142,"In ancient times, it ruled the skies. A widely
accepted theory is that it went extinct due to
a large meteor impact.","2018-07-18 03:15:07","2018-07-18 03:15:07"
143,"It eats nearly 900 pounds of food every day.
It starts nodding off while eating—and continues
to eat even while it’s asleep.","2018-07-18 03:14:22","2018-07-18 03:14:22"
144,"Articuno is a legendary bird Pokémon that can control ice.
The flapping of its wings chills the air. As a result, it is said
that when this Pokémon flies, snow will fall.","2018-07-18 03:15:21","2018-07-18 03:15:21"
145,"Zapdos is a legendary bird Pokémon that has the ability
to control electricity. It usually lives in thunderclouds.
The Pokémon gains power if it is stricken by lightning bolts.","2018-07-18 03:02:31","2018-07-18 03:02:31"
146,"Moltres is a legendary bird Pokémon that has the ability
to control fire. If this Pokémon is injured, it is said to dip its
body in the molten magma of a volcano to burn and heal itself.","2018-07-18 03:27:06","2018-07-18 03:27:06"
147,"After a 10-hour struggle, a fisherman was able
to pull one up and confirm its existence.","2018-07-18 03:14:24","2018-07-18 03:14:24"
148,"From time immemorial, it has been venerated by
agricultural peoples as an entity able to control
the weather.","2018-07-18 03:26:40","2018-07-18 03:26:40"
149,"Incur the wrath of this normally calm Pokémon
at your peril, because it will smash everything
to smithereens before it’s satisfied.","2018-07-18 03:14:21","2018-07-18 03:14:21"
150,"Mewtwo is a Pokémon that was created by genetic
manipulation. However, even though the scientific power
of humans created this Pokémon’s body, they failed to
endow Mewtwo with a compassionate heart.","2018-07-18 03:15:04","2018-07-18 03:15:04"
151,"Mew is said to possess the genetic composition of all
Pokémon. It is capable of making itself invisible at will,
so it entirely avoids notice even if it approaches people.","2018-07-18 03:26:49","2018-07-18 03:26:49"
152,"In battle, Chikorita waves its leaf around to keep the foe at
bay. However, a sweet fragrance also wafts from the leaf,
becalming the battling Pokémon and creating a cozy,
friendly atmosphere all around.","2018-07-18 03:15:23","2018-07-18 03:15:23"
153,"Bayleef’s neck is ringed by curled-up leaves. Inside each
tubular leaf is a small shoot of a tree. The fragrance of this
shoot makes people peppy.","2018-07-18 03:50:43","2018-07-18 03:50:43"
154,"The fragrance of Meganium’s flower soothes and calms
emotions. In battle, this Pokémon gives off more of its
becalming scent to blunt the foe’s fighting spirit.","2018-07-18 04:08:28","2018-07-18 04:08:28"
155,"Cyndaquil protects itself by flaring up the flames on its back.
The flames are vigorous if the Pokémon is angry. However, if it
is tired, the flames splutter fitfully with incomplete combustion.","2018-07-18 03:50:48","2018-07-18 03:50:48"
156,"Quilava keeps its foes at bay with the intensity of its flames
and gusts of superheated air. This Pokémon applies its
outstanding nimbleness to dodge attacks even while scorching
the foe with flames.","2018-07-18 03:50:33","2018-07-18 03:50:33"
157,"Typhlosion obscures itself behind a shimmering heat haze that
it creates using its intensely hot flames. This Pokémon creates
blazing explosive blasts that burn everything to cinders.","2018-07-18 04:08:23","2018-07-18 04:08:23"
158,"Despite the smallness of its body, Totodile’s jaws are very
powerful. While the Pokémon may think it is just playfully
nipping, its bite has enough power to cause serious injury.","2018-07-18 03:26:39","2018-07-18 03:26:39"
159,"Once Croconaw has clamped its jaws on its foe, it will
absolutely not let go. Because the tips of its fangs are
forked back like barbed fishhooks, they become impossible
to remove when they have sunk in.","2018-07-18 03:51:11","2018-07-18 03:51:11"
160,"Feraligatr intimidates its foes by opening its huge mouth.
In battle, it will kick the ground hard with its thick and powerful
hind legs to charge at the foe at an incredible speed.","2018-07-18 03:26:57","2018-07-18 03:26:57"
161,"When Sentret sleeps, it does so while another stands guard.
The sentry wakes the others at the first sign of danger. When
this Pokémon becomes separated from its pack, it becomes
incapable of sleep due to fear.","2018-07-18 03:14:47","2018-07-18 03:14:47"
162,"Furret has a very slim build. When under attack, it can slickly
squirm through narrow spaces and get away. In spite of its
short limbs, this Pokémon is very nimble and fleet.","2018-07-18 03:14:52","2018-07-18 03:14:52"
163,"Hoothoot has an internal organ that senses and tracks the
earth’s rotation. Using this special organ, this Pokémon
begins hooting at precisely the same time every day.","2018-07-18 03:13:49","2018-07-18 03:13:49"
164,"Noctowl never fails at catching prey in darkness. This Pokémon
owes its success to its superior vision that allows it to see in
minimal light, and to its soft, supple wings that make no sound
in flight.","2018-07-18 03:13:51","2018-07-18 03:13:51"
165,"They communicate with one another using bodily
fluids that give off odors. When they’re angry,
their odor smells sour.","2018-07-18 03:14:16","2018-07-18 03:14:16"
